date,hr,open,high,low,close,volume
2020.05.26,22:00,17.121,17.133,17.023,17.121,1345
2020.05.26,23:00,17.122,17.152,17.112,17.118,548
2020.05.27,1:00,17.117,17.148,17.081,17.094,938
2020.05.27,2:00,17.093,17.159,17.079,17.157,629
2020.05.27,3:00,17.153,17.19,17.103,17.185,1136
2020.05.27,4:00,17.187,17.259,17.145,17.145,2371
2020.05.27,5:00,17.148,17.148,17.052,17.095,2368
2020.05.27,6:00,17.091,17.12,17.036,17.037,1246
2020.05.27,7:00,17.039,17.05,16.962,17.027,1555
2020.05.27,8:00,17.027,17.062,16.964,17.055,2619
2020.05.27,9:00,17.057,17.094,17.026,17.093,2329
2020.05.27,10:00,17.092,17.125,17.024,17.044,1877
2020.05.27,11:00,17.043,17.146,17.043,17.084,1112
2020.05.27,12:00,17.087,17.281,17.055,17.236,1809
2020.05.27,13:00,17.234,17.244,17.182,17.191,2127
2020.05.27,14:00,17.183,17.204,16.972,17.046,2987
2020.05.27,15:00,17.046,17.079,16.936,16.964,3688
2020.05.27,16:00,16.959,17.059,16.848,17,4938
2020.05.27,17:00,17.001,17.182,16.965,17.059,5421
2020.05.27,18:00,17.059,17.136,17.033,17.129,2883
2020.05.27,19:00,17.13,17.303,17.127,17.279,4188
2020.05.27,20:00,17.278,17.313,17.221,17.273,2632
2020.05.27,21:00,17.272,17.332,17.254,17.33,1437
2020.05.27,22:00,17.329,17.363,17.276,17.3,1556
2020.05.27,23:00,17.299,17.33,17.247,17.247,1065
2020.05.28,1:00,17.27,17.291,17.214,17.229,968
2020.05.28,2:00,17.228,17.28,17.201,17.25,843
2020.05.28,3:00,17.249,17.289,17.226,17.227,1025
2020.05.28,4:00,17.227,17.384,17.18,17.316,4130
2020.05.28,5:00,17.315,17.342,17.3,17.328,2249
2020.05.28,6:00,17.329,17.334,17.263,17.305,1705
2020.05.28,7:00,17.303,17.336,17.272,17.282,992
2020.05.28,8:00,17.279,17.351,17.267,17.333,2481
2020.05.28,9:00,17.336,17.401,17.314,17.339,3290
2020.05.28,10:00,17.339,17.387,17.289,17.311,2279
2020.05.28,11:00,17.311,17.383,17.31,17.348,1870
2020.05.28,12:00,17.348,17.373,17.32,17.36,2221
2020.05.28,13:00,17.36,17.36,17.282,17.341,1579
2020.05.28,14:00,17.341,17.387,17.27,17.303,2071
2020.05.28,15:00,17.305,17.395,17.229,17.349,4040
2020.05.28,16:00,17.349,17.519,17.331,17.35,6657
2020.05.28,17:00,17.351,17.471,17.292,17.452,4794
2020.05.28,18:00,17.454,17.473,17.392,17.463,2887
2020.05.28,19:00,17.463,17.469,17.359,17.418,2221
2020.05.28,20:00,17.416,17.435,17.299,17.303,2485
2020.05.28,21:00,17.302,17.357,17.281,17.356,2093
2020.05.28,22:00,17.354,17.38,17.312,17.364,2304
2020.05.28,23:00,17.362,17.39,17.32,17.372,648
2020.05.29,1:00,17.372,17.402,17.357,17.391,673
2020.05.29,2:00,17.387,17.43,17.387,17.421,581
2020.05.29,3:00,17.423,17.432,17.29,17.331,1327
2020.05.29,4:00,17.33,17.412,17.26,17.385,3044
2020.05.29,5:00,17.385,17.432,17.382,17.416,1325
2020.05.29,6:00,17.415,17.428,17.399,17.415,688
2020.05.29,7:00,17.413,17.435,17.403,17.433,655
2020.05.29,8:00,17.433,17.474,17.406,17.443,1728
2020.05.29,9:00,17.444,17.457,17.345,17.4,3118
2020.05.29,10:00,17.401,17.426,17.351,17.387,2078
2020.05.29,11:00,17.387,17.531,17.384,17.497,2286
2020.05.29,12:00,17.495,17.509,17.434,17.48,1713
2020.05.29,13:00,17.48,17.602,17.475,17.584,2003
2020.05.29,14:00,17.584,17.712,17.577,17.699,3822
2020.05.29,15:00,17.694,17.753,17.66,17.724,4289
2020.05.29,16:00,17.719,17.816,17.691,17.731,6402
2020.05.29,17:00,17.734,17.855,17.717,17.855,4406
2020.05.29,18:00,17.853,17.863,17.761,17.833,3554
2020.05.29,19:00,17.839,17.859,17.8,17.819,2342
2020.05.29,20:00,17.825,17.912,17.817,17.882,2555
2020.05.29,21:00,17.882,17.908,17.784,17.8,2898
2020.05.29,22:00,17.799,17.859,17.719,17.851,2793
2020.05.29,23:00,17.85,17.888,17.839,17.847,700
2020.06.01,1:00,18.046,18.112,17.939,18.005,2652
2020.06.01,2:00,18.001,18.087,17.988,18.044,796
2020.06.01,3:00,18.044,18.114,18.018,18.031,1787
2020.06.01,4:00,18.03,18.19,18.025,18.19,4211
2020.06.01,5:00,18.189,18.211,18.147,18.168,1751
2020.06.01,6:00,18.168,18.174,18.135,18.14,1201
2020.06.01,7:00,18.14,18.337,18.14,18.284,2472
2020.06.01,8:00,18.284,18.367,18.272,18.339,2420
2020.06.01,9:00,18.34,18.383,18.296,18.342,2765
2020.06.01,10:00,18.341,18.342,18.25,18.292,2095
2020.06.01,11:00,18.295,18.329,18.079,18.123,2711
2020.06.01,12:00,18.124,18.216,18.11,18.191,1889
2020.06.01,13:00,18.191,18.194,18.116,18.149,2053
2020.06.01,14:00,18.147,18.21,18.061,18.203,3674
2020.06.01,15:00,18.204,18.246,18.141,18.204,4048
2020.06.01,16:00,18.204,18.209,17.989,18.133,6044
2020.06.01,17:00,18.133,18.212,18.046,18.212,5188
2020.06.01,18:00,18.216,18.317,18.184,18.302,4940
2020.06.01,19:00,18.302,18.306,18.229,18.265,1816
2020.06.01,20:00,18.265,18.302,18.209,18.228,1697
2020.06.01,21:00,18.229,18.274,18.204,18.266,1275
2020.06.01,22:00,18.266,18.333,18.261,18.325,1262
2020.06.01,23:00,18.326,18.326,18.263,18.3,500
2020.06.02,1:00,18.282,18.335,18.272,18.313,654
2020.06.02,2:00,18.314,18.363,18.307,18.317,906
2020.06.02,3:00,18.319,18.36,18.292,18.302,998
2020.06.02,4:00,18.301,18.31,18.115,18.228,5327
2020.06.02,5:00,18.229,18.24,18.177,18.202,1831
2020.06.02,6:00,18.202,18.224,18.188,18.22,1362
2020.06.02,7:00,18.221,18.221,18.166,18.167,1209
2020.06.02,8:00,18.167,18.215,18.16,18.193,1526
2020.06.02,9:00,18.193,18.22,18.149,18.208,2102
2020.06.02,10:00,18.213,18.248,18.154,18.196,2226
2020.06.02,11:00,18.194,18.252,18.177,18.224,1889
2020.06.02,12:00,18.225,18.289,18.22,18.283,1645
2020.06.02,13:00,18.282,18.285,18.235,18.269,1048
2020.06.02,14:00,18.27,18.298,18.235,18.264,1170
2020.06.02,15:00,18.266,18.297,18.165,18.282,3347
2020.06.02,16:00,18.281,18.345,18.229,18.266,6659
2020.06.02,17:00,18.266,18.285,18.127,18.184,5091
2020.06.02,18:00,18.184,18.199,17.856,17.889,7788
2020.06.02,19:00,17.89,17.946,17.777,17.864,6043
2020.06.02,20:00,17.863,17.989,17.862,17.985,2358
2020.06.02,21:00,17.986,18.038,17.971,18.031,1342
2020.06.02,22:00,18.032,18.087,18.031,18.059,1611
2020.06.02,23:00,18.061,18.076,18.012,18.073,890
2020.06.03,1:00,18.061,18.08,18.033,18.065,679
2020.06.03,2:00,18.064,18.077,18.02,18.056,747
2020.06.03,3:00,18.055,18.055,17.973,18.041,1769
2020.06.03,4:00,18.037,18.055,17.9,17.925,4982
2020.06.03,5:00,17.924,17.929,17.824,17.859,3366
2020.06.03,6:00,17.859,17.893,17.768,17.823,2365
2020.06.03,7:00,17.823,17.857,17.813,17.847,1069
